"","Doc","Score","Documents"
"1"," 1","  2","realli like idea american freedom speech express opinion long moral ethic sens stay side respect anoth say moral within ethic side human broad hope approach goal imagin don t think anyon malici tri hurt anoth happen scar peopl deal anger whatev level standard life truli tremend platform appreci opportun m sure sometim person life filter tweet whatev done realiti truli realiti sometim world tweet world seem much away actual see everi day life internet creat mr jack respect endless great day"
"2"," 2","  1","perfect imag doubl standard media american cultur im actual worri reaction guy write honest review consequ polici rule probabl power cancel account realli care repres ever doubl standard media american cultur result bias platform algorithm tri silenc opinion import sector popul coward action demonstr deserv trust continu use platform like sport wont abl chang valu chang opinion cancel block someon platform manag place comment opinion line narrat first place someon like make comment platform peopl stupid realiz bias becom control manipul fake dishonest o platform good luck mission america place cant freeli expres opinion day action hit"
"3"," 3","-14","etc drive stupid millenni nation youth idiot wast much worthless product instead innov read gain knowledg instead kid wast hour take worthless photo share grow get follow like skanki kardashian s s wors media toilet pay idiot pump follow next media servic tool connect hate group media hate group somewhat isol now suprem leader white hous hate group now use high detriment network rais money use fear tactic grow follow idiot charg network clue s go prove wrong st destroy hate group access immedi bring someth valu network extrem stupid crap now"
"4"," 4"," -1","oh worst peopl compani peopl radic liber think silenc whoever suspend account account recent got suspend reason respond african american woman s tweet mind african american suspend appar hate harass person obvious respond situat young rapper charg crime s terribl youth wrong path success come rap word use na word often use platform suspens use respons african american woman s like algorithm pick tweet like thought racist need think re liter disobey first constitut right free speech stop tri good guy focus compani brand stop obvious justic warrior nonsens"
"5"," 5","  3","love see potenti power afraid blossom greatest invent sinc print press given five star except disagre unfair censorship howev far other tri resist forc thrown watch republican chastis rep allow cia involv monitor russian disinform chastis control search result alex jone elect show top often don t watch remind hillari said elect shut breitbart right exist stun salut jack withstand pressur debat independ journalist admir"
"6"," 6","  7","thing consid magnific phenomenon compani seem gotten much better behavior toward user knew sign rule agre fair howev broken rule detriment guest bad actor regard bias profil may differ polit opinion work said work limit often forc us good refin thought creativ subsequ clear great us outlet pain confus humor love anim joy d like see milo yiannopoul jame wood allow return m sure other unjust ban suspend better us like said thing consid"
"7"," 7","  2","love content mani interact old friend new friend howev give star random technic difficulti rare open draft folder sometim work time seem import time freez load draft app crash ill reopen app draft still unus video player issu sometim freez earlier today continu paus video instant touch play paus eventu like hour later tri video play ve issu video player overal enjoy small technic difficulti main problem"
"8"," 8","  4","perfect media websit express connect everyon around globe chat local friend stay top latest trend news even tweet direct favorit celebr corpor anyon account best part re requir share depth inform describ life bio don t locat option person work mine use citi world wherev matter share pictur video whomev follow funni account share latest meme alway stay date favorit movi music follow dog cartoon s endless possibl"
"9"," 9"," -1","use retweet like peopl s tweet m sure across hinder effect short charact count unverifi account tweet link articl quit challeng due limit charact count space charact link past tweet peopl tag absolut includ total charact count take away abil includ import inform tweet incred userfriend app allow countless abil connect peopl give star fact blank space charact contain link count total charact affect limit app perfect"
"10","10"," -3","almost score star consid use due exagger negat foul hate languag individu choos follow peopl everyon calm express differ opinion andor fact manner encourag construct twoway dialogu s part grow person mutual respect anoth differ influenc other s ok embrac differ thought belief convict wrong independ american use power vote differ s necessari invad threaten harm anoth reason anytim let s respect s boundari dismiss anoth rancor hate kind word word may better influenc anoth"
"11","11","  2","websit need charact clear communic messag place convers now alway short messag rearrang word choic cut word tweet s charact two s annoy need edit button like minimalist user interfac don t like suppress free speech polit censorship irrespons aw busi practic especi compani magnitud jack hope see stop let compani boss around s like t even speak anyth meaning platform creat d like hear hear thought grown increas draconian censor censorship creat toxic bias cultur racist name call s much potenti s matter s irrelev d rather see go love see improv bless"
"12","12","  2","first got see go world got meet new peopl interest convers everyth start get polit thuggish peopl start bash other simpli differ opinion peopl call other racist didn t support certain faction ideal even harass simpli defend ideal didn t mean harm other didn t call someon s death fought freedom speak mind even disagre noth defend other place proven bias cater mob back issu clear guidelin media becom incred pollut hatr death lie longer support media other like opinion fine disagr discuss civil respect none"
"13","13","  4","like abl search follow name easili filter search peopl s page follow businessgiveaway purpos make thing much easier anoth big safeti issuei absolut hate block someon person tri search profil still pop page say person block don t see ve block due safeti reason better name doesn t pop tri search block great appplatform great reach peopl ve start new career met amaz peopl app chang life"
"14","14"," -4","beaten boyfriend took creak drug drag stair abus bruis bodi call polic high creak polic decid arrest take pictur bruis bodi place solitari confin day bleed heavili offic jail told tubal pregnanc want go jail hospit said innoc polic think definit defend protect understand stay motel witch afford anywher night night jerk polic man arrest boyfriend intox public boyfriend beaten kept car realiz rotten polic think law"
"15","15","  2","m sure phone option open tweet notif lock screen tap open specif tweet top follow doesn t open tweet account messag go search name scroll tweet like find tweet tweet ve tri everi set tri close work most anoth high frustrat problem notif tweet turn mayb peopl get notif reason import idea anyon"
